fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,2.499625541465055,2.499625541465055,model,lnV0
21.0,0.0,12,2.2004540510246033,2.7996033419923214,model,lnV0
21.0,0.0,25,1.8746477999350843,3.1249753916885137,model,lnV0
21.0,0.0,37,1.5750295654014195,3.4249900399860254,model,lnV0
21.0,0.0,50,1.249943479295527,3.7508214344370403,model,lnV0
21.0,0.0,62,0.9501191350455721,4.049345290941495,model,lnV0
21.0,0.0,75,0.6249665981131352,4.3755929234458275,model,lnV0
21.0,0.0,87,0.32486406930150635,4.675871868296959,model,lnV0
21.0,0.0,95,0.12517111150246296,4.875714654916569,model,lnV0
21.0,1.0,0,3.8821558059313412,3.8821558059313412,model,lnV0
21.0,1.0,12,3.758263194180305,4.039964935610362,model,lnV0
21.0,1.0,25,3.508326961142413,4.189465521063425,model,lnV0
21.0,1.0,37,3.300685983252696,4.32717834593322,model,lnV0
21.0,1.0,50,3.0598139798118202,4.469562720920786,model,lnV0
21.0,1.0,62,2.780665673024693,4.595277489243293,model,lnV0
21.0,1.0,75,2.3434387091669175,4.735259226209883,model,lnV0
21.0,1.0,87,1.8676141731704676,4.860564242258393,model,lnV0
21.0,1.0,95,1.3206282327360543,4.952397816291824,model,lnV0
21.0,2.0,0,3.8821558059313412,3.8821558059313412,model,lnV0
21.0,2.0,12,3.7626825867863922,4.039964935610362,model,lnV0
21.0,2.0,25,3.500538754865264,4.191287016369248,model,lnV0
21.0,2.0,37,3.311893921443583,4.32717834593322,model,lnV0
21.0,2.0,50,3.0598139798118202,4.461631079615862,model,lnV0
21.0,2.0,62,2.780665673024693,4.592975864721679,model,lnV0
21.0,2.0,75,2.3434387091669175,4.733740317252234,model,lnV0
21.0,2.0,87,1.844798135371082,4.860564242258393,model,lnV0
21.0,2.0,95,1.3275266403643924,4.952397816291824,model,lnV0
21.0,3.0,0,3.8978480392683785,3.8978480392683785,model,lnV0
21.0,3.0,12,3.7371522138961693,4.069649479236384,model,lnV0
21.0,3.0,25,3.5198962074045337,4.234495444200075,model,lnV0
