time,pr
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.0
129.0,0.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.0
139.0,0.0
140.0,0.0
141.0,0.0
142.0,0.0
143.0,0.0
144.0,0.0
145.0,0.0
146.0,0.0
147.0,0.0
148.0,0.0
149.0,0.0
150.0,0.0
151.0,0.0
152.0,0.0
153.0,0.0
154.0,0.0
155.0,0.0
156.0,0.0
157.0,0.0
158.0,0.0
159.0,0.0
160.0,0.0
161.0,0.0
162.0,0.0
163.0,0.0
164.0,0.0
165.0,0.0
166.0,0.0
167.0,0.0
168.0,0.0
169.0,0.0
170.0,0.0
171.0,0.0
172.0,0.0
173.0,0.0
174.0,0.0
175.0,0.0
176.0,0.0
177.0,0.0
178.0,0.0
179.0,0.0
180.0,0.0
181.0,0.0
182.0,0.0
183.0,0.0
184.0,0.0
185.0,0.0
186.0,0.0
187.0,9.911342944810208e-05
188.0,9.911342944810208e-05
189.0,9.911342944810208e-05
190.0,9.911343085298251e-05
191.0,0.0003569616400726049
192.0,0.0003569616400726049
193.0,0.0003821128900522866
194.0,0.0003821128900522866
195.0,0.001293169541391974
196.0,0.0013157913045077488
197.0,0.0013157913045077488
198.0,0.004035080445701321
199.0,0.004038821916389762
200.0,0.004052630773223715
201.0,0.004402637487201597
202.0,0.005089260877523182
203.0,0.009110378644692389
204.0,0.011901358929925785
205.0,0.015664494164533273
206.0,0.018748304148068
207.0,0.027613433307292205
208.0,0.029271043720763862
209.0,0.03530091199100444
210.0,0.03723222413241574
211.0,0.042718541299345464
212.0,0.05415780772485317
213.0,0.0589378249479922
214.0,0.06719633104613554
215.0,0.08131973241488379
216.0,0.08695638780101422
217.0,0.09116069264325527
218.0,0.09946041446469905
219.0,0.1058609729776536
220.0,0.11300695895288179
221.0,0.11686986440107047
222.0,0.12571841220124508
223.0,0.13744966260395208
224.0,0.14191108926911966
225.0,0.151517517199658
226.0,0.16236181900300536
227.0,0.1720197624720813
228.0,0.18052744806644755
229.0,0.1861020768861923
230.0,0.19649697096894592
231.0,0.2117316427000567
232.0,0.21805193460703426
233.0,0.22014969704628842
234.0,0.22616756162109342
235.0,0.22912422067160026
236.0,0.2425919945068219
237.0,0.2538776181512316
238.0,0.25844978002459007
239.0,0.26366591182149524
240.0,0.2712110889426221
241.0,0.27507049627838315
242.0,0.28244024443515664
243.0,0.2854254796995458
244.0,0.2963552253502935
245.0,0.3049017504844111
246.0,0.31221180440853813
247.0,0.3248936823412427
248.0,0.3257984033020429
249.0,0.3309260795471695
250.0,0.3321268992191269
251.0,0.3367621624566087
252.0,0.3403462498145491
253.0,0.35158872303099314
254.0,0.3568276560649594
255.0,0.36475255952052377
256.0,0.3701883898821984
257.0,0.3713058003505098
258.0,0.3746627850612446
259.0,0.3844938626333401
260.0,0.3926360023701115
261.0,0.3983126701882956
262.0,0.40082654388668093
263.0,0.4052241999849288
264.0,0.40764937420406977
265.0,0.41485510509047385
266.0,0.4157197821274158
267.0,0.41928786413844826
268.0,0.42293312599670985
269.0,0.42628596126167384
270.0,0.42888503396852395
271.0,0.4322364539244136
272.0,0.4370718837845135
273.0,0.4429291824819427
274.0,0.444364974122356
275.0,0.4482012178723182
276.0,0.45346378125911735
277.0,0.4561995713874731
278.0,0.4577886385788926
279.0,0.45792328237048724
280.0,0.46204309591692205
281.0,0.4647562047494923
282.0,0.4697820312824785
283.0,0.4743344124185169
284.0,0.4777338901595623
285.0,0.47773403929737335
286.0,0.4819123198420605
287.0,0.4832420449291443
288.0,0.48408843761072196
289.0,0.48651609492712344
290.0,0.48813475679340923
291.0,0.48813475679340923
292.0,0.4929190879513778
293.0,0.4929190879513778
294.0,0.49291910516203935
295.0,0.49291910516203935
296.0,0.4940756880538492
297.0,0.49457829801956976
298.0,0.49671227576359145
299.0,0.5002553649412069
300.0,0.502725185209257
301.0,0.5082278869796899
302.0,0.5133336895964244
303.0,0.5133336916609903
304.0,0.5163843858066591
305.0,0.5197383400063638
306.0,0.5227641798763623
307.0,0.5232856710475124
308.0,0.5253887241460178
309.0,0.5268388085497607
310.0,0.5268388085497607
311.0,0.5283861028763432
312.0,0.5323689117793733
313.0,0.5324676521292372
314.0,0.5334704399942527
315.0,0.5334704400525331
316.0,0.5349975162884967
317.0,0.5349975162884967
318.0,0.5369124437875249
319.0,0.5414279576896992
320.0,0.541997317491647
321.0,0.542968137342688
322.0,0.5429681373438211
323.0,0.5440768198716674
324.0,0.5440768198716674
325.0,0.544785849806359
326.0,0.5447858527286238
327.0,0.5470241655682264
328.0,0.5486103198782099
329.0,0.5486103198845667
330.0,0.5502723746319977
331.0,0.5503653441848483
332.0,0.5533335296484817
333.0,0.5533335296484817
334.0,0.5533335296485902
335.0,0.5533335296485902
336.0,0.5538423951728361
337.0,0.5553656729607587
338.0,0.5553656729607587
339.0,0.5553656729607587
340.0,0.5553656729616182
341.0,0.5567281054514948
342.0,0.5567281054514948
343.0,0.5567281054516233
344.0,0.5574027945294833
345.0,0.5584373769085099
346.0,0.5584373769085099
347.0,0.560803921444259
348.0,0.560803921444259
349.0,0.560803921444259
350.0,0.560803921444259
351.0,0.5617679312970516
352.0,0.5633555749078032
353.0,0.5633574875607039
354.0,0.5633574875607039
355.0,0.5633574875607039
356.0,0.5633574875607039
357.0,0.5633574875607039
358.0,0.5640524763345285
359.0,0.5640524763345285
360.0,0.5640525769273695
361.0,0.5640525769273695
362.0,0.5641865896285356
363.0,0.5641865896285356
364.0,0.5662193995648976
365.0,0.5662193995648976
366.0,0.5662200422589916
367.0,0.5662200422589916
368.0,0.5662200422810856
369.0,0.5662200422810856
370.0,0.5662200422810856
371.0,0.5662200422810856
372.0,0.5662200422810856
373.0,0.5662200422810856
374.0,0.5670373835426263
375.0,0.5670373846651856
376.0,0.5670373846651856
377.0,0.5670373846651856
378.0,0.5670374275574124
379.0,0.5671418146723448
380.0,0.5671418146723448
381.0,0.5671426441008555
382.0,0.5671426441008555
383.0,0.5674669130988301
384.0,0.5674669130988301
385.0,0.5675581883789114
386.0,0.5675581883789114
387.0,0.5675581883789114
388.0,0.5675581883789114
389.0,0.5675581901290894
390.0,0.5675581901290894
391.0,0.5675581901290894
392.0,0.5675581901290894
393.0,0.5675581901290894
394.0,0.5675581901290894
395.0,0.5675581901290894
396.0,0.5675581901290894
397.0,0.5675581901290894
398.0,0.5695147102558062
399.0,0.5695153610977546
400.0,0.5714956529753593
