prob,mass,ymax,ymin,xmin,xmax
0,0.0,1.0298746969060406,1.0298746969060406,0,
12,0.06,1.0298746969060406,1.0271893205634144,0,22.343236978591126
25,0.065,1.0271893205634144,1.022723549133679,0,14.555156040274948
37,0.06,1.022723549133679,1.0191507510914972,0,16.79356047882286
50,0.065,1.0191507510914972,1.0149724100556554,0,15.556413285184261
62,0.06,1.0149724100556554,1.0112757020571987,0,16.23065712116002
75,0.065,1.0112757020571987,1.0046209046908023,0,9.76738981238098
87,0.06,1.0046209046908023,0.9982368725065257,0,9.39844885929229
95,0.03999999999999998,0.9982368725065257,0.9888267626470005,0,4.250747397971223
0,0.0,1.0298746969060406,1.0298746969060406,0,
12,0.06,1.0337220690570408,1.0298746969060406,0,15.59506012029594
25,0.065,1.036852509702472,1.0337220690570408,0,20.763850001394456
37,0.06,1.0399696953405018,1.036852509702472,0,19.24813179811814
50,0.065,1.0447196264956378,1.0399696953405018,0,13.684408863424657
62,0.06,1.049004198816358,1.0447196264956378,0,14.00373141324704
75,0.065,1.055300641368503,1.049004198816358,0,10.323289613411378
87,0.06,1.0644653572485234,1.055300641368503,0,6.546847800356135
95,0.03999999999999998,1.0810256155269258,1.0644653572485234,0,2.4154212650274545
