fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,4.999853028369193,4.999853028369193,model,beta
21.0,0.0,12,4.401608870823319,5.6008763338096665,model,beta
21.0,0.0,25,3.7505204417067377,6.2498718026642806,model,beta
21.0,0.0,37,3.151211878008489,6.848357707980841,model,beta
21.0,0.0,50,2.4998856516097394,7.499774346691451,model,beta
21.0,0.0,62,1.8998147282799405,8.101759246415778,model,beta
21.0,0.0,75,1.2496080516941395,8.750119605634456,model,beta
21.0,0.0,87,0.6494691386056111,9.348629176780108,model,beta
21.0,0.0,95,0.24876007177026974,9.750672908952186,model,beta
21.0,1.0,0,8.49014622383127,8.49014622383127,model,beta
21.0,1.0,12,8.227107199120981,8.717461953311705,model,beta
21.0,1.0,25,7.879585422682083,8.915997917109252,model,beta
21.0,1.0,37,7.506385890988032,9.083275533207397,model,beta
21.0,1.0,50,7.117015716550231,9.28257632137128,model,beta
21.0,1.0,62,6.599742094731831,9.465454257189535,model,beta
21.0,1.0,75,5.838772332757269,9.699704866066808,model,beta
21.0,1.0,87,4.848985329234555,9.939424640446536,model,beta
21.0,1.0,95,3.574240544866875,10.203137087458586,model,beta
21.0,2.0,0,8.543732137573032,8.543732137573032,model,beta
21.0,2.0,12,8.313330698010585,8.761263996204622,model,beta
21.0,2.0,25,7.964577320019687,8.9483634163156,model,beta
21.0,2.0,37,7.655843313863697,9.114305202915784,model,beta
21.0,2.0,50,7.242692291378936,9.294556415050002,model,beta
21.0,2.0,62,6.834501046103753,9.482274151449744,model,beta
21.0,2.0,75,6.1083343413199795,9.703836648300193,model,beta
21.0,2.0,87,5.212685869796603,9.947810378316273,model,beta
21.0,2.0,95,4.000399349470044,10.20357347289744,model,beta
21.0,3.0,0,8.513105921542035,8.513105921542035,model,beta
21.0,3.0,12,8.288249778346376,8.747161150499812,model,beta
21.0,3.0,25,7.940698642978612,8.942242393915574,model,beta
21.0,3.0,37,7.6322670541479605,9.104385844078692,model,beta
21.0,3.0,50,7.221831304287229,9.298323610531943,model,beta
21.0,3.0,62,6.785050656596743,9.490740498456463,model,beta
21.0,3.0,75,6.056388411650401,9.715450758218335,model,beta
21.0,3.0,87,5.15225152144504,9.953257394680527,model,beta
21.0,3.0,95,3.9694098853149735,10.222410297607176,model,beta
21.0,4.0,0,8.596133464427464,8.596133464427464,model,beta
21.0,4.0,12,8.381724478879182,8.812810210490028,model,beta
21.0,4.0,25,8.102031258806344,8.989436282090525,model,beta
21.0,4.0,37,7.825640111080557,9.166125335591875,model,beta
21.0,4.0,50,7.42551269771881,9.373065560638846,model,beta
21.0,4.0,62,7.061280121995254,9.552837980731345,model,beta
21.0,4.0,75,6.2270276360573575,9.758719776993212,model,beta
21.0,4.0,87,5.397005976488464,9.98158895027849,model,beta
21.0,4.0,95,4.310094497024607,10.23360210200092,model,beta
21.0,5.0,0,8.5876797788707,8.5876797788707,model,beta
21.0,5.0,12,8.378281146136386,8.807711359365067,model,beta
21.0,5.0,25,8.10579587529382,8.98603800185069,model,beta
21.0,5.0,37,7.823823516257131,9.165872209927524,model,beta
21.0,5.0,50,7.439730649825534,9.373065560638846,model,beta
21.0,5.0,62,7.070464476097968,9.552837980731345,model,beta
21.0,5.0,75,6.220549733516055,9.758719776993212,model,beta
21.0,5.0,87,5.409921773089168,9.98158895027849,model,beta
21.0,5.0,95,4.3663151964048605,10.23360210200092,model,beta
21.0,6.0,0,8.583709339542468,8.583709339542468,model,beta
21.0,6.0,12,8.368267852750241,8.804457029481108,model,beta
21.0,6.0,25,8.102031258806344,8.980322808893924,model,beta
21.0,6.0,37,7.812749366850255,9.16525067805666,model,beta
21.0,6.0,50,7.439730649825534,9.370985957815723,model,beta
21.0,6.0,62,7.070464476097968,9.548608504848445,model,beta
