unit,time,prob,ymin,ymax
V,0.0,95,77.0,117.00000000000001
V,0.0,87,77.0,117.00000000000001
V,0.0,75,77.0,117.00000000000001
V,0.0,62,77.0,117.00000000000001
V,0.0,50,77.0,117.00000000000001
V,0.0,37,77.0,117.00000000000001
V,0.0,25,117.00000000000001,117.00000000000001
V,0.0,12,117.00000000000001,117.00000000000001
V,0.0,0,117.00000000000001,117.00000000000001
V,1.0,95,1051.986172692163,3272.9582186369544
V,1.0,87,1051.986172692163,3272.9582186369544
V,1.0,75,1051.986172692163,3272.9582186369544
V,1.0,62,1051.986172692163,3272.9582186369544
V,1.0,50,1051.986172692163,3272.9582186369544
V,1.0,37,1051.986172692163,3272.9582186369544
V,1.0,25,3272.9582186369544,3272.9582186369544
V,1.0,12,3272.9582186369544,3272.9582186369544
V,1.0,0,3272.9582186369544,3272.9582186369544
V,2.0,95,2838171.1030123276,5217780.844609731
V,2.0,87,2838171.1030123276,5217780.844609731
V,2.0,75,2838171.1030123276,5217780.844609731
V,2.0,62,2896579.576989147,5217780.844609731
V,2.0,50,2896579.576989147,5217780.844609731
V,2.0,37,2896579.576989147,5217780.844609731
V,2.0,25,4467624.528252115,5217780.844609731
V,2.0,12,5082388.766428209,5217780.844609731
V,2.0,0,5217780.844609731,5217780.844609731
V,3.0,95,391408358.35004425,459385751.1573019
V,3.0,87,391408358.35004425,459385751.1573019
V,3.0,75,391408358.35004425,459385751.1573019
V,3.0,62,391408358.35004425,455001520.3506593
V,3.0,50,391408358.35004425,455001520.3506593
V,3.0,37,391408358.35004425,455001520.3506593
V,3.0,25,391408358.35004425,412007044.99036694
V,3.0,12,391408358.35004425,407034942.5328017
V,3.0,0,391408358.35004425,391408358.35004425
V,4.0,95,77477710.43637337,91233179.76167914
V,4.0,87,77477710.43637337,91233179.76167914
V,4.0,75,77477710.43637337,91233179.76167914
V,4.0,62,77477710.43637337,90068152.86750415
V,4.0,50,77477710.43637337,90068152.86750415
V,4.0,37,77477710.43637337,90068152.86750415
V,4.0,25,77477710.43637337,82021231.9609221
V,4.0,12,77477710.43637337,79658582.85975938
V,4.0,0,77477710.43637337,77477710.43637337
V,5.0,95,15490421.29300986,18953803.363408696
V,5.0,87,15490421.29300986,18953803.363408696
V,5.0,75,15490421.29300986,18953803.363408696
V,5.0,62,15490421.29300986,18596955.75994954
V,5.0,50,15490421.29300986,18596955.75994954
V,5.0,37,15490421.29300986,18596955.75994954
V,5.0,25,15490421.29300986,16665403.613946974
V,5.0,12,15490421.29300986,15997523.0311585
V,5.0,0,15490421.29300986,15490421.29300986
V,6.0,95,3865137.564877376,4887267.742299802
V,6.0,87,3865137.564877376,4887267.742299802
V,6.0,75,3865137.564877376,4887267.742299802
V,6.0,62,3865137.564877376,4771824.251534209
V,6.0,50,3865137.564877376,4771824.251534209
V,6.0,37,3865137.564877376,4771824.251534209
V,6.0,25,3865137.564877376,4213751.559206167
V,6.0,12,3865137.564877376,4014666.042383817
V,6.0,0,3865137.564877376,3865137.564877376
V,7.0,95,925924.7367881503,1204142.546849176
V,7.0,87,925924.7367881503,1204142.546849176
V,7.0,75,925924.7367881503,1204142.546849176
V,7.0,62,925924.7367881503,1170303.7074694862
V,7.0,50,925924.7367881503,1170303.7074694862
V,7.0,37,925924.7367881503,1170303.7074694862
V,7.0,25,925924.7367881503,1021351.0379755975
V,7.0,12,925924.7367881503,963575.0997180563
V,7.0,0,925924.7367881503,925924.7367881503
V,8.0,95,215983.30594866016,289483.3030391139
V,8.0,87,215983.30594866016,289483.3030391139
V,8.0,75,215983.30594866016,289483.3030391139
V,8.0,62,215983.30594866016,279881.37580939796
V,8.0,50,215983.30594866016,279881.37580939796
V,8.0,37,215983.30594866016,279881.37580939796
V,8.0,25,215983.30594866016,241135.87858329856
V,8.0,12,215983.30594866016,225141.54127114595
V,8.0,0,215983.30594866016,215983.30594866016
V,9.0,95,50850.33010037983,70277.80848031788
V,9.0,87,50850.33010037983,70277.80848031788
V,9.0,75,50850.33010037983,70277.80848031788
V,9.0,62,50850.33010037983,67589.7872447979
V,9.0,50,50850.33010037983,67589.7872447979
V,9.0,37,50850.33010037983,67589.7872447979
