fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,0.012003546114361888,0.012003546114361888,model,rho
21.0,0.0,12,0.010561863606806592,0.01343815814316158,model,rho
21.0,0.0,25,0.009002276076549805,0.014998388275117477,model,rho
21.0,0.0,37,0.007557481232564353,0.01644247202552904,model,rho
21.0,0.0,50,0.006001046865161435,0.017999687376762656,model,rho
21.0,0.0,62,0.00455572172977711,0.01943707973418253,model,rho
21.0,0.0,75,0.003000155526789606,0.020999874776726712,model,rho
21.0,0.0,87,0.0015584257585419526,0.022438547916383854,model,rho
21.0,0.0,95,0.0006018454615505953,0.02339586061927426,model,rho
21.0,1.0,0,0.012727973935753655,0.012727973935753655,model,rho
21.0,1.0,12,0.011503608048192848,0.013806193290526684,model,rho
21.0,1.0,25,0.00966097754477018,0.015330567317282516,model,rho
21.0,1.0,37,0.008239989782416635,0.016846053140495323,model,rho
21.0,1.0,50,0.006705469983996274,0.01833411639838157,model,rho
21.0,1.0,62,0.00516618169203493,0.019652642556640586,model,rho
21.0,1.0,75,0.003568891503359899,0.021194445159484897,model,rho
21.0,1.0,87,0.0017984341527976038,0.022813792941927202,model,rho
21.0,1.0,95,0.00011689758745787507,0.024094841811819038,model,rho
21.0,2.0,0,0.013058383331807793,0.013058383331807793,model,rho
21.0,2.0,12,0.011892517120041116,0.014210367351889545,model,rho
21.0,2.0,25,0.010050728490229019,0.015600183227071887,model,rho
21.0,2.0,37,0.008520180442994345,0.017025931322763647,model,rho
21.0,2.0,50,0.006794527026132382,0.018509325277083395,model,rho
21.0,2.0,62,0.005157325204196822,0.019805211230684867,model,rho
21.0,2.0,75,0.0035558139472880563,0.02134041652553805,model,rho
21.0,2.0,87,0.0018061794806552517,0.022912671696859302,model,rho
21.0,2.0,95,0.0001,0.024289840228199508,model,rho
21.0,3.0,0,0.012882349821241125,0.012882349821241125,model,rho
21.0,3.0,12,0.01166870128521161,0.013976300758080882,model,rho
21.0,3.0,25,0.0098065200691922,0.015402186106476186,model,rho
21.0,3.0,37,0.00841463534089955,0.016875197891045916,model,rho
21.0,3.0,50,0.006756358397460493,0.0183365669364746,model,rho
21.0,3.0,62,0.005117753011296606,0.019718536788163814,model,rho
21.0,3.0,75,0.003487111781809149,0.021295787070344303,model,rho
21.0,3.0,87,0.0017387812113422037,0.022993790218715848,model,rho
21.0,3.0,95,0.0001,0.024311030665861932,model,rho
21.0,4.0,0,0.01274425836508417,0.01274425836508417,model,rho
21.0,4.0,12,0.011595169151122383,0.013921376425072119,model,rho
21.0,4.0,25,0.009758413253102055,0.015312912945932868,model,rho
21.0,4.0,37,0.008396592665588922,0.01679834814616243,model,rho
21.0,4.0,50,0.006808976431629894,0.018285822847183462,model,rho
21.0,4.0,62,0.005187522194293924,0.01966510364775534,model,rho
21.0,4.0,75,0.0035511303757851794,0.021275518928717183,model,rho
21.0,4.0,87,0.0017032032950653777,0.023013209770013074,model,rho
21.0,4.0,95,0.0001,0.024352190636388243,model,rho
21.0,5.0,0,0.012649024072998172,0.012649024072998172,model,rho
21.0,5.0,12,0.011426687157829383,0.013645231395470178,model,rho
21.0,5.0,25,0.009559344505524649,0.015011843540785722,model,rho
21.0,5.0,37,0.008072415970848174,0.01646848441981004,model,rho
21.0,5.0,50,0.0067072598683334825,0.01800439200683901,model,rho
21.0,5.0,62,0.005102818822443538,0.01951149101895292,model,rho
21.0,5.0,75,0.0035511303757851794,0.021267635677332936,model,rho
21.0,5.0,87,0.0016542177828325344,0.02299613319149698,model,rho
21.0,5.0,95,0.0001,0.024379402909474816,model,rho
21.0,6.0,0,0.012560431919335159,0.012560431919335159,model,rho
21.0,6.0,12,0.011130271413697605,0.01340937201405551,model,rho
21.0,6.0,25,0.009294375552647087,0.014825441489613084,model,rho
21.0,6.0,37,0.007801397425915131,0.016010443586941026,model,rho
21.0,6.0,50,0.006506367077746508,0.017543099552891836,model,rho
21.0,6.0,62,0.005070224660570922,0.019124309954859187,model,rho
21.0,6.0,75,0.00347648130483336,0.0211883179225988,model,rho
21.0,6.0,87,0.0015487495593020514,0.022862847683279036,model,rho
21.0,6.0,95,0.0001,0.024497833624849866,model,rho
21.0,7.0,0,0.012544802820425596,0.012544802820425596,model,rho
21.0,7.0,12,0.010945131179598748,0.013369941399092136,model,rho
21.0,7.0,25,0.00918885970225047,0.014825441489613084,model,rho
21.0,7.0,37,0.00768442441882214,0.01574505313475089,model,rho
