prob,ymin,ymax,name
0,2.011728491306095,2.011728491306095,betaCoef
12,2.007350201861009,2.015025196225832,betaCoef
25,2.003378884663685,2.0186827573737145,betaCoef
37,1.999005170538058,2.0216059025216793,betaCoef
50,1.9963056671789556,2.0262218983297,betaCoef
62,1.9922120203152347,2.029491080642333,betaCoef
75,1.9851413618077127,2.034584960041618,betaCoef
87,1.9757815049422505,2.0428074087293067,betaCoef
95,1.9632456266590173,2.05741139774548,betaCoef
0,1.0298746969060406,1.0298746969060406,gammaCoef
12,1.0271893205634144,1.0337220690570408,gammaCoef
25,1.022723549133679,1.036852509702472,gammaCoef
37,1.0191507510914972,1.0399696953405018,gammaCoef
50,1.0149724100556554,1.0447196264956378,gammaCoef
62,1.0112757020571987,1.049004198816358,gammaCoef
75,1.0046209046908023,1.055300641368503,gammaCoef
87,0.9982368725065257,1.0644653572485234,gammaCoef
95,0.9888267626470005,1.0810256155269258,gammaCoef
0,0.9746659798765115,0.9746659798765115,omegaCoef
12,0.9239050344720289,1.0572268288259794,omegaCoef
25,0.8565483874654342,1.1900878280780807,omegaCoef
37,0.8130377272212614,1.3478833595815025,omegaCoef
50,0.7483459226255681,1.4836044900690466,omegaCoef
62,0.6688554287751843,1.6644129768195377,omegaCoef
75,0.5947731813398675,1.7616455911116404,omegaCoef
87,0.472839050242737,1.890838650138518,omegaCoef
95,0.3840135845759166,1.9841633087062815,omegaCoef
