unit,time,prob,ymin,ymax
V,0.0,95,2.0,136.99999999999997
V,0.0,87,6.0,126.99999999999999
V,0.0,75,11.000000000000002,118.00000000000003
V,0.0,62,16.0,111.00000000000004
V,0.0,50,27.000000000000004,96.99999999999999
V,0.0,37,38.99999999999999,85.99999999999999
V,0.0,25,47.00000000000001,76.0
V,0.0,12,52.00000000000001,70.99999999999999
V,0.0,0,62.0,62.0
V,1.0,95,471.6451383371217,9650.696552286478
V,1.0,87,661.1112085542327,9461.231766677372
V,1.0,75,1245.4538659395382,6885.918173798385
V,1.0,62,1564.2012355830684,6236.494108098249
V,1.0,50,1679.569965201982,5701.847418159601
V,1.0,37,2008.7560973756615,3898.9217488313534
V,1.0,25,2136.464910015075,3351.3642176250405
V,1.0,12,2500.7866498557432,2963.250820021125
V,1.0,0,2770.8753528025773,2770.8753528025773
V,2.0,95,2043898.4883898846,21179956.52691854
V,2.0,87,2345051.8859887556,15786923.6794625
V,2.0,75,2637040.4645639006,12448374.0577187
V,2.0,62,2951006.787519424,10421782.91611315
V,2.0,50,3343501.1387897437,8871168.551779246
V,2.0,37,3705047.324204916,7821887.06072235
V,2.0,25,4090125.7873846167,6997933.224523051
V,2.0,12,4659942.6895392565,6218238.937255729
V,2.0,0,5345193.033475853,5345193.033475853
V,3.0,95,167469733.02816617,599773773.6558414
V,3.0,87,235783208.271919,555784758.4444677
V,3.0,75,313959032.5137771,530828312.23350346
V,3.0,62,368431443.3823964,514923556.9770727
V,3.0,50,399184431.5531877,504148399.7649883
V,3.0,37,418810898.767455,485843071.55914897
V,3.0,25,433509402.3961701,477872222.9089855
V,3.0,12,445350714.0578905,467912162.6406752
V,3.0,0,458667502.71873116,458667502.71873116
V,4.0,95,66082839.43352364,291385284.00083745
V,4.0,87,74675953.03902018,224710045.18213826
V,4.0,75,83188794.64025968,163304686.76714402
V,4.0,62,89897281.78713994,139880261.76982513
V,4.0,50,93531463.79237136,130597108.16441946
V,4.0,37,97653441.87182738,122523874.72463559
V,4.0,25,100721267.53589657,116673739.88674133
V,4.0,12,104503988.36105424,112675675.35551153
V,4.0,0,108927137.04640815,108927137.04640815
V,5.0,95,12218110.11759778,60768273.12642799
V,5.0,87,14567458.01779713,43490274.41471269
V,5.0,75,16899567.942518406,37511624.449484855
V,5.0,62,18755781.6355194,31221908.711600125
V,5.0,50,20003836.113194384,29249937.68932536
V,5.0,37,21038942.543347757,27728368.605743323
V,5.0,25,21768407.900883082,26391450.9452491
V,5.0,12,22881314.57661037,25276109.93582258
V,5.0,0,24172280.344377805,24172280.344377805
V,6.0,95,2851224.6603549058,14041916.569085518
V,6.0,87,3485718.4076375756,11281044.035917746
V,6.0,75,4112585.954010498,9565871.649284547
V,6.0,62,4729968.889182883,8585670.049111417
V,6.0,50,4961266.158907082,7918721.56249418
V,6.0,37,5406246.928682184,7366619.100240775
V,6.0,25,5655138.300995028,6970370.910103668
V,6.0,12,5889261.73464307,6627362.212181257
V,6.0,0,6275763.479965154,6275763.479965154
V,7.0,95,638647.9713301006,4036652.9836655594
V,7.0,87,806787.264796819,3139912.7177801672
V,7.0,75,983382.4081560586,2554577.406528098
V,7.0,62,1152546.0989968088,2296775.7960443115
V,7.0,50,1216900.570465024,2098072.5838316204
V,7.0,37,1351009.1149449747,1956512.2010366465
V,7.0,25,1420780.2454113567,1833497.0063529622
V,7.0,12,1514538.864610707,1730506.9062215965
V,7.0,0,1609054.3219124682,1609054.3219124682
V,8.0,95,137273.77454448788,1169636.054631037
V,8.0,87,178601.46918755112,879090.272146215
V,8.0,75,224118.06452871396,678436.5543294963
V,8.0,62,268785.10871609935,610638.5740437793
V,8.0,50,290986.03762175416,549979.9108654243
V,8.0,37,325509.23213041096,505397.20444410486
V,8.0,25,346507.7062400927,473637.77976528817
