prob,ymin,ymax,name
0,2.0117284913060933,2.0117284913060933,betaCoef
12,2.007350201861007,2.015025196225832,betaCoef
25,2.003378884663684,2.018682757373713,betaCoef
37,1.9990051705380605,2.0216059025216744,betaCoef
50,1.9963056671789543,2.0262218983296996,betaCoef
62,1.9922120203152336,2.0294910806423303,betaCoef
75,1.9851413618077152,2.0345849600416157,betaCoef
87,1.9757815049422494,2.0428074087293036,betaCoef
95,1.9632456266590135,2.0574113977454753,betaCoef
0,1.029874696906039,1.029874696906039,gammaCoef
12,1.0271893205634142,1.0337220690570383,gammaCoef
25,1.022723549133677,1.0368525097024717,gammaCoef
37,1.0191507510914988,1.0399696953405015,gammaCoef
50,1.0149724100556543,1.0447196264956358,gammaCoef
62,1.0112757020572,1.049004198816357,gammaCoef
75,1.0046209046908032,1.0553006413685007,gammaCoef
87,0.9982368725065282,1.0644653572485203,gammaCoef
95,0.9888267626470038,1.081025615526925,gammaCoef
0,0.9746659798765192,0.9746659798765192,omegaCoef
12,0.9239050344720365,1.057226828825984,omegaCoef
25,0.8565483874654398,1.1900878280780822,omegaCoef
37,0.8130377272212608,1.3478833595815005,omegaCoef
50,0.7483459226255688,1.4836044900690435,omegaCoef
62,0.6688554287751857,1.6644129768195406,omegaCoef
75,0.5947731813398717,1.7616455911116393,omegaCoef
87,0.4728390502427441,1.8908386501385164,omegaCoef
95,0.38401358457591855,1.9841633087062838,omegaCoef
