prob,mass,ymax,ymin,xmin,xmax
0,0.0,1.029874696906039,1.029874696906039,0,
12,0.06,1.029874696906039,1.0271893205634142,0,22.34323697860221
25,0.065,1.0271893205634142,1.022723549133677,0,14.555156040269159
37,0.06,1.022723549133677,1.0191507510914988,0,16.79356047883956
50,0.065,1.0191507510914988,1.0149724100556543,0,15.55641328517434
62,0.06,1.0149724100556543,1.0112757020572,0,16.230657121170747
75,0.065,1.0112757020572,1.0046209046908032,0,9.767389812380328
87,0.06,1.0046209046908032,0.9982368725065282,0,9.398448859294579
95,0.03999999999999998,0.9982368725065282,0.9888267626470038,0,4.250747397971574
0,0.0,1.029874696906039,1.029874696906039,0,
12,0.06,1.0337220690570383,1.029874696906039,0,15.59506012029954
25,0.065,1.0368525097024717,1.0337220690570383,0,20.763850001379726
37,0.06,1.0399696953405015,1.0368525097024717,0,19.24813179811814
50,0.065,1.0447196264956358,1.0399696953405015,0,13.684408863429775
62,0.06,1.049004198816357,1.0447196264956358,0,14.003731413244138
75,0.065,1.0553006413685007,1.049004198816357,0,10.323289613413563
87,0.06,1.0644653572485203,1.0553006413685007,0,6.546847800356611
95,0.03999999999999998,1.081025615526925,1.0644653572485203,0,2.4154212650270983
