fs_time,time,param1,param2,covar
14.0,14.0,c,lnV0,-1.3536224252562417e-28
14.0,14.0,c,delta,9.866052662217506e-29
14.0,14.0,c,rho,5.118014818525331e-30
14.0,14.0,c,beta,-2.4538846181467382e-27
14.0,14.0,c,phi,-3.33077937876463e-27
14.0,14.0,c,k,1.3302596125521042e-26
14.0,14.0,c,pi,-3.919711687119847e-25
14.0,14.0,lnV0,delta,-0.04024439629838253
14.0,14.0,lnV0,rho,0.0004956589665881799
14.0,14.0,lnV0,beta,-0.15210847464637559
14.0,14.0,lnV0,phi,-0.7555021023142504
14.0,14.0,lnV0,k,-2.397450796918854e-29
14.0,14.0,lnV0,pi,-3.1831404534297367
14.0,14.0,delta,rho,-0.0001775256415563292
14.0,14.0,delta,beta,-0.010130938525696494
14.0,14.0,delta,phi,0.16832340095295023
14.0,14.0,delta,k,1.677228952576976e-29
14.0,14.0,delta,pi,0.10391606020204977
14.0,14.0,rho,beta,-0.0006629661038008859
14.0,14.0,rho,phi,-0.005984755712537658
14.0,14.0,rho,k,7.684730081430354e-31
14.0,14.0,rho,pi,-0.030702187249686694
14.0,14.0,beta,phi,-0.5631789247927689
14.0,14.0,beta,k,-4.118090381209587e-28
14.0,14.0,beta,pi,-0.09533183524972177
14.0,14.0,phi,k,-5.6039179121395435e-28
14.0,14.0,phi,pi,5.379054086141048
14.0,14.0,k,pi,-6.534720784503791e-26
14.0,15.0,c,lnV0,-1.3536224252562417e-28
14.0,15.0,c,delta,9.866052662217506e-29
14.0,15.0,c,rho,5.118014818525331e-30
14.0,15.0,c,beta,-2.4538846181467382e-27
14.0,15.0,c,phi,-3.33077937876463e-27
14.0,15.0,c,k,1.3302596125521042e-26
14.0,15.0,c,pi,-3.919711687119847e-25
14.0,15.0,lnV0,delta,-0.04024439629838253
14.0,15.0,lnV0,rho,0.0004956589665881799
14.0,15.0,lnV0,beta,-0.15210847464637559
14.0,15.0,lnV0,phi,-0.7555021023142504
14.0,15.0,lnV0,k,-2.397450796918854e-29
14.0,15.0,lnV0,pi,-3.1831404534297367
14.0,15.0,delta,rho,-0.0001775256415563292
14.0,15.0,delta,beta,-0.010130938525696494
14.0,15.0,delta,phi,0.16832340095295023
14.0,15.0,delta,k,1.677228952576976e-29
14.0,15.0,delta,pi,0.10391606020204977
14.0,15.0,rho,beta,-0.0006629661038008859
14.0,15.0,rho,phi,-0.005984755712537658
14.0,15.0,rho,k,7.684730081430354e-31
14.0,15.0,rho,pi,-0.030702187249686694
14.0,15.0,beta,phi,-0.5631789247927689
14.0,15.0,beta,k,-4.118090381209587e-28
14.0,15.0,beta,pi,-0.09533183524972177
14.0,15.0,phi,k,-5.6039179121395435e-28
14.0,15.0,phi,pi,5.379054086141048
14.0,15.0,k,pi,-6.534720784503791e-26
14.0,16.0,c,lnV0,-1.3536224252562417e-28
14.0,16.0,c,delta,9.866052662217506e-29
14.0,16.0,c,rho,5.118014818525331e-30
14.0,16.0,c,beta,-2.4538846181467382e-27
14.0,16.0,c,phi,-3.33077937876463e-27
14.0,16.0,c,k,1.3302596125521042e-26
14.0,16.0,c,pi,-3.919711687119847e-25
14.0,16.0,lnV0,delta,-0.04024439629838253
14.0,16.0,lnV0,rho,0.0004956589665881799
14.0,16.0,lnV0,beta,-0.15210847464637559
14.0,16.0,lnV0,phi,-0.7555021023142504
14.0,16.0,lnV0,k,-2.397450796918854e-29
14.0,16.0,lnV0,pi,-3.1831404534297367
14.0,16.0,delta,rho,-0.0001775256415563292
14.0,16.0,delta,beta,-0.010130938525696494
14.0,16.0,delta,phi,0.16832340095295023
14.0,16.0,delta,k,1.677228952576976e-29
14.0,16.0,delta,pi,0.10391606020204977
14.0,16.0,rho,beta,-0.0006629661038008859
14.0,16.0,rho,phi,-0.005984755712537658
14.0,16.0,rho,k,7.684730081430354e-31
14.0,16.0,rho,pi,-0.030702187249686694
14.0,16.0,beta,phi,-0.5631789247927689
14.0,16.0,beta,k,-4.118090381209587e-28
14.0,16.0,beta,pi,-0.09533183524972177
14.0,16.0,phi,k,-5.6039179121395435e-28
14.0,16.0,phi,pi,5.379054086141048
14.0,16.0,k,pi,-6.534720784503791e-26
14.0,17.0,c,lnV0,-1.3536224252562417e-28
14.0,17.0,c,delta,9.866052662217506e-29
14.0,17.0,c,rho,5.118014818525331e-30
14.0,17.0,c,beta,-2.4538846181467382e-27
14.0,17.0,c,phi,-3.33077937876463e-27
14.0,17.0,c,k,1.3302596125521042e-26
14.0,17.0,c,pi,-3.919711687119847e-25
14.0,17.0,lnV0,delta,-0.04024439629838253
14.0,17.0,lnV0,rho,0.0004956589665881799
14.0,17.0,lnV0,beta,-0.15210847464637559
14.0,17.0,lnV0,phi,-0.7555021023142504
14.0,17.0,lnV0,k,-2.397450796918854e-29
14.0,17.0,lnV0,pi,-3.1831404534297367
14.0,17.0,delta,rho,-0.0001775256415563292
14.0,17.0,delta,beta,-0.010130938525696494
14.0,17.0,delta,phi,0.16832340095295023
14.0,17.0,delta,k,1.677228952576976e-29
14.0,17.0,delta,pi,0.10391606020204977
14.0,17.0,rho,beta,-0.0006629661038008859
14.0,17.0,rho,phi,-0.005984755712537658
14.0,17.0,rho,k,7.684730081430354e-31
14.0,17.0,rho,pi,-0.030702187249686694
14.0,17.0,beta,phi,-0.5631789247927689
14.0,17.0,beta,k,-4.118090381209587e-28
14.0,17.0,beta,pi,-0.09533183524972177
14.0,17.0,phi,k,-5.6039179121395435e-28
14.0,17.0,phi,pi,5.379054086141048
14.0,17.0,k,pi,-6.534720784503791e-26
14.0,18.0,c,lnV0,-1.3536224252562417e-28
14.0,18.0,c,delta,9.866052662217506e-29
14.0,18.0,c,rho,5.118014818525331e-30
14.0,18.0,c,beta,-2.4538846181467382e-27
14.0,18.0,c,phi,-3.33077937876463e-27
14.0,18.0,c,k,1.3302596125521042e-26
14.0,18.0,c,pi,-3.919711687119847e-25
14.0,18.0,lnV0,delta,-0.04024439629838253
14.0,18.0,lnV0,rho,0.0004956589665881799
