time,pr
0.0,0.0
1.0,0.0004
2.0,1.3707716856020177e-12
3.0,2.7021622445411515e-21
4.0,5.972641684916243e-31
5.0,1.1155450829083196e-38
6.0,5.4620970557762755e-11
7.0,1.5479145733717203e-08
8.0,0.0002
9.0,0.3649795114779278
10.0,0.23060000000000003
11.0,0.38318415206441453
12.0,0.9038933633655157
13.0,0.9972526679122213
14.0,0.9999892888647485
15.0,0.9999999498142333
15.0,0.9999999498142333
16.0,0.9999999999999998
17.0,0.9999999999999998
18.0,0.9999999999999998
19.0,0.9999999999999998
20.0,0.9999999999999998
21.0,0.9999999999999998
