fs_time,time,weight,lnV0,beta,phi,rho,k,delta,pi,c,T,E,I,R,V,next_event,next_time
5.0,0.0,0.1,3.837422810839807,4.953426673300174,2.786713507311129,0.010041627154965078,4.0,3.4894211729021665,387.8886836766732,10.0,80000000.0,1.0,0.0,0.0,46.0,0,0.0
5.0,0.0,0.1,4.34191560945263,8.399491560940048,8.945058353647221,0.01489490493555813,4.0,2.189202365296246,402.0151570141781,10.0,80000000.0,1.0,0.0,0.0,77.0,0,0.0
5.0,0.0,0.1,4.761806558971889,7.372871372457395,5.516305070255855,0.02377653255747115,4.0,2.323591158578656,375.52006823120723,10.0,80000000.0,1.0,0.0,0.0,117.0,0,0.0
5.0,0.0,0.1,0.7321862847557117,3.428978211336638,4.280188493873545,0.0170762775224502,4.0,3.8492392298831986,396.02398498762875,10.0,80000000.0,1.0,0.0,0.0,2.0,0,0.0
5.0,0.0,0.1,3.254314680007404,6.110853118548603,7.909580029721423,0.020093297243113244,4.0,1.554010761432653,352.5627811217317,10.0,80000000.0,1.0,0.0,0.0,26.0,0,0.0
5.0,0.0,0.1,2.1623021432341414,5.830156894831557,0.8661995238351892,0.000281810512221053,4.0,1.023141092680912,382.19236399883016,10.0,80000000.0,1.0,0.0,0.0,9.0,0,0.0
5.0,0.0,0.1,1.0863003522977503,2.8884574800189986,1.4891335730241435,0.013636944885210766,4.0,2.5305759979024622,404.64938654023666,10.0,80000000.0,1.0,0.0,0.0,3.0,0,0.0
5.0,0.0,0.1,0.14966672518187385,9.375581719666528,3.8702499838203144,0.0024481595720222344,4.0,3.392231653722039,368.85181284769845,10.0,80000000.0,1.0,0.0,0.0,1.0,0,0.0
5.0,0.0,0.1,1.8242836392950883,0.7252873265440309,9.38949862887222,0.006826927625370683,4.0,1.8038647421111325,358.1989417735979,10.0,80000000.0,1.0,0.0,0.0,6.0,0,0.0
5.0,0.0,0.1,2.5323579539214776,1.7416796445739262,6.0262016279393915,0.0075260805015089005,4.0,2.909336676290932,367.66773800076,10.0,80000000.0,1.0,0.0,0.0,13.0,0,0.0
5.0,1.0,0.13663894086394596,3.837422810839807,4.953426673300174,2.786713507311129,0.010041627154965078,4.0,3.4894211729021665,387.8886836766732,10.0,79979285.95016964,55.0,35.0,20596.333778289674,981.2635169703253,0,0.0
5.0,1.0,0.3441369173397,4.34191560945263,8.399491560940048,8.945058353647221,0.01489490493555813,4.0,2.189202365296246,402.0151570141781,10.0,79736017.31211168,373.8339142142462,197.07140773590487,263333.09719654697,5056.752694344789,0,0.0
5.0,1.0,0.2533607976309068,4.761806558971889,7.372871372457395,5.516305070255855,0.02377653255747115,4.0,2.323591158578656,375.52006823120723,10.0,79898636.13640001,203.8737755542747,106.03004423351165,100999.16537540803,2636.3399750262165,0,0.0
5.0,1.0,1.1063413658696913e-05,0.7321862847557117,3.428978211336638,4.280188493873545,0.0170762775224502,4.0,3.8492392298831986,396.02398498762875,10.0,80000000.0,0.0,0.0,1.0,0.0,0,0.0
5.0,1.0,0.10922367937641178,3.254314680007404,6.110853118548603,7.909580029721423,0.020093297243113244,4.0,1.554010761432653,352.5627811217317,10.0,79952347.6035417,49.0,36.0,47560.39645840306,726.879700523647,0,0.0
