unit,time,prob,ymin,ymax
I,19.0,62,6.0,12.0
I,19.0,50,6.0,11.0
I,19.0,37,7.0,11.0
I,19.0,25,8.0,10.0
I,19.0,12,8.0,9.0
I,19.0,0,9.0,9.0
I,20.0,95,4.0,24.0
I,20.0,87,5.0,21.0
I,20.0,75,6.0,18.0
I,20.0,62,7.0,16.0
I,20.0,50,8.0,15.0
I,20.0,37,8.0,14.0
I,20.0,25,9.0,12.0
I,20.0,12,10.0,11.0
I,20.0,0,11.0,11.0
I,21.0,95,8.0,29.0
I,21.0,87,9.0,26.0
I,21.0,75,11.0,23.0
I,21.0,62,12.0,22.0
I,21.0,50,13.0,20.0
I,21.0,37,14.0,19.0
I,21.0,25,15.0,18.0
I,21.0,12,16.0,17.0
I,21.0,0,16.0,16.0
I,22.0,95,11.0,32.0
I,22.0,87,13.0,29.0
I,22.0,75,14.0,27.0
I,22.0,62,16.0,25.0
I,22.0,50,17.0,24.0
I,22.0,37,18.0,23.0
I,22.0,25,18.0,22.0
I,22.0,12,19.0,21.0
I,22.0,0,20.0,20.0
I,23.0,95,13.0,37.0
I,23.0,87,15.0,33.0
I,23.0,75,17.0,31.0
I,23.0,62,19.0,29.0
I,23.0,50,20.0,28.0
I,23.0,37,21.0,26.0
I,23.0,25,22.0,25.0
I,23.0,12,23.0,24.0
I,23.0,0,24.0,24.0
I,24.0,95,17.0,42.0
I,24.0,87,19.0,38.0
I,24.0,75,21.0,36.0
I,24.0,62,23.0,34.0
I,24.0,50,24.0,32.0
I,24.0,37,25.0,31.0
I,24.0,25,26.0,30.0
I,24.0,12,27.0,29.0
I,24.0,0,28.0,28.0
I,25.0,95,18.0,47.0
I,25.0,87,21.0,43.0
I,25.0,75,23.0,40.0
I,25.0,62,25.0,38.0
I,25.0,50,26.0,36.0
I,25.0,37,28.0,35.0
I,25.0,25,29.0,34.0
I,25.0,12,30.0,32.0
I,25.0,0,31.0,31.0
I,26.0,95,22.0,54.0
I,26.0,87,25.0,50.0
I,26.0,75,28.0,47.0
I,26.0,62,30.0,44.0
I,26.0,50,32.0,43.0
I,26.0,37,33.0,41.0
I,26.0,25,34.0,40.0
I,26.0,12,36.0,38.0
I,26.0,0,37.0,37.0
I,27.0,95,26.0,59.0
I,27.0,87,29.0,55.0
I,27.0,75,32.0,51.0
I,27.0,62,34.0,49.0
I,27.0,50,35.0,47.0
I,27.0,37,37.0,45.0
I,27.0,25,38.0,44.0
I,27.0,12,40.0,42.0
I,27.0,0,41.0,41.0
I,28.0,95,30.0,65.0
I,28.0,87,33.0,60.0
I,28.0,75,36.0,56.0
I,28.0,62,38.0,54.0
I,28.0,50,40.0,52.0
I,28.0,37,41.0,50.0
I,28.0,25,43.0,48.0
I,28.0,12,44.0,47.0
I,28.0,0,46.0,46.0
I,29.0,95,36.0,73.0
I,29.0,87,39.0,68.0
I,29.0,75,42.0,64.0
I,29.0,62,45.0,61.0
I,29.0,50,47.0,59.0
I,29.0,37,48.0,57.0
I,29.0,25,50.0,56.0
I,29.0,12,51.0,54.0
I,29.0,0,53.0,53.0
I,30.0,95,44.0,85.0
I,30.0,87,48.0,80.0
I,30.0,75,52.0,76.0
I,30.0,62,54.0,73.0
I,30.0,50,56.0,70.0
I,30.0,37,58.0,68.0
I,30.0,25,60.0,66.0
I,30.0,12,62.0,65.0
I,30.0,0,63.0,63.0
I,31.0,95,50.0,96.0
I,31.0,87,54.0,90.0
I,31.0,75,58.0,85.0
I,31.0,62,61.0,81.0
I,31.0,50,63.0,79.0
I,31.0,37,65.0,76.0
I,31.0,25,67.0,74.0
I,31.0,12,69.0,72.0
I,31.0,0,70.0,70.0
I,32.0,95,61.0,111.0
I,32.0,87,66.0,104.0
I,32.0,75,70.0,99.0
I,32.0,62,73.0,96.0
I,32.0,50,76.0,93.0
I,32.0,37,78.0,90.0
I,32.0,25,80.0,88.0
I,32.0,12,82.0,86.0
I,32.0,0,84.0,84.0
I,33.0,95,72.0,130.0
I,33.0,87,78.0,122.0
I,33.0,75,83.0,116.0
I,33.0,62,86.0,112.0
I,33.0,50,89.0,109.0
I,33.0,37,92.0,106.0
I,33.0,25,94.0,103.0
I,33.0,12,96.0,101.0
I,33.0,0,99.0,99.0
I,34.0,95,82.0,145.0
I,34.0,87,88.0,136.0
I,34.0,75,93.0,130.0
I,34.0,62,97.0,125.0
I,34.0,50,100.0,122.0
I,34.0,37,103.0,119.0
I,34.0,25,106.0,116.0
I,34.0,12,108.0,113.0
I,34.0,0,111.0,111.0
I,35.0,95,96.0,169.0
I,35.0,87,103.0,159.0
I,35.0,75,109.0,152.0
I,35.0,62,114.0,146.0
I,35.0,50,117.0,142.0
I,35.0,37,121.0,138.0
I,35.0,25,124.0,135.0
I,35.0,12,127.0,132.0
I,35.0,0,129.0,129.0
I,36.0,95,115.0,203.0
I,36.0,87,124.0,192.0
I,36.0,75,131.0,183.0
I,36.0,62,137.0,176.0
I,36.0,50,141.0,171.0
I,36.0,37,145.0,167.0
I,36.0,25,149.0,163.0
I,36.0,12,152.0,159.0
I,36.0,0,156.0,156.0
I,37.0,95,138.0,231.0
I,37.0,87,147.0,219.0
I,37.0,75,155.0,209.0
I,37.0,62,161.0,202.0
I,37.0,50,165.0,197.0
I,37.0,37,169.0,192.0
I,37.0,25,173.0,188.0
I,37.0,12,177.0,184.0
I,37.0,0,181.0,181.0
I,38.0,95,162.0,271.0
I,38.0,87,172.0,256.0
I,38.0,75,181.0,245.0
I,38.0,62,188.0,237.0
I,38.0,50,193.0,231.0
I,38.0,37,198.0,225.0
I,38.0,25,203.0,220.0
I,38.0,12,207.0,216.0
I,38.0,0,211.0,211.0
I,39.0,95,185.0,311.0
I,39.0,87,198.0,295.0
I,39.0,75,208.0,282.0
I,39.0,62,216.0,273.0
I,39.0,50,222.0,266.0
I,39.0,37,228.0,259.0
I,39.0,25,233.0,254.0
I,39.0,12,239.0,249.0
I,39.0,0,244.0,244.0
I,40.0,95,215.0,355.0
I,40.0,87,228.0,337.0
I,40.0,75,240.0,322.0
I,40.0,62,249.0,312.0
I,40.0,50,255.0,304.0
I,40.0,37,262.0,297.0
I,40.0,25,268.0,291.0
I,40.0,12,274.0,284.0
I,40.0,0,279.0,279.0
I,41.0,95,250.0,399.0
I,41.0,87,264.0,380.0
I,41.0,75,277.0,365.0
I,41.0,62,287.0,353.0
I,41.0,50,294.0,345.0
I,41.0,37,301.0,338.0
I,41.0,25,307.0,331.0
I,41.0,12,313.0,325.0
I,41.0,0,319.0,319.0
I,42.0,95,287.0,464.0
I,42.0,87,304.0,441.0
I,42.0,75,319.0,423.0
I,42.0,62,330.0,409.0
I,42.0,50,339.0,400.0
I,42.0,37,347.0,390.0
I,42.0,25,354.0,383.0
I,42.0,12,361.0,375.0
I,42.0,0,368.0,368.0
I,43.0,95,326.0,531.0
I,43.0,87,346.0,505.0
I,43.0,75,363.0,484.0
I,43.0,62,376.0,468.0
I,43.0,50,386.0,457.0
I,43.0,37,396.0,446.0
I,43.0,25,404.0,437.0
I,43.0,12,413.0,428.0
I,43.0,0,420.0,420.0
I,44.0,95,373.0,599.0
I,44.0,87,395.0,570.0
I,44.0,75,413.0,546.0
I,44.0,62,427.0,529.0
I,44.0,50,438.0,516.0
I,44.0,37,449.0,505.0
I,44.0,25,458.0,495.0
I,44.0,12,467.0,485.0
I,44.0,0,476.0,476.0
I,45.0,95,433.0,682.0
I,45.0,87,457.0,649.0
I,45.0,75,477.0,623.0
I,45.0,62,493.0,605.0
I,45.0,50,505.0,591.0
I,45.0,37,517.0,578.0
I,45.0,25,527.0,567.0
I,45.0,12,537.0,557.0
I,45.0,0,547.0,547.0
I,46.0,95,494.0,783.0
I,46.0,87,522.0,746.0
I,46.0,75,546.0,715.0
I,46.0,62,564.0,694.0
I,46.0,50,578.0,677.0
I,46.0,37,591.0,663.0
I,46.0,25,603.0,650.0
I,46.0,12,615.0,637.0
I,46.0,0,626.0,626.0
I,47.0,95,564.0,893.0
I,47.0,87,596.0,850.0
I,47.0,75,623.0,816.0
I,47.0,62,643.0,791.0
I,47.0,50,659.0,773.0
I,47.0,37,675.0,755.0
I,47.0,25,688.0,741.0
I,47.0,12,702.0,727.0
I,47.0,0,714.0,714.0
I,48.0,95,652.0,1011.0
I,48.0,87,687.0,965.0
I,48.0,75,717.0,928.0
I,48.0,62,740.0,901.0
I,48.0,50,757.0,881.0
I,48.0,37,774.0,862.0
I,48.0,25,789.0,847.0
I,48.0,12,804.0,831.0
I,48.0,0,817.0,817.0
I,49.0,95,739.0,1146.0
I,49.0,87,778.0,1092.0
I,49.0,75,812.0,1050.0
I,49.0,62,838.0,1019.0
I,49.0,50,857.0,997.0
I,49.0,37,876.0,976.0
I,49.0,25,893.0,958.0
I,49.0,12,910.0,941.0
I,49.0,0,925.0,925.0
I,50.0,95,849.0,1298.0
I,50.0,87,894.0,1240.0
I,50.0,75,931.0,1195.0
I,50.0,62,960.0,1161.0
I,50.0,50,982.0,1136.0
I,50.0,37,1003.0,1113.0
I,50.0,25,1021.0,1094.0
I,50.0,12,1040.0,1075.0
