fs_time,time,prob,ymin,ymax,type,name
21.0,0.0,0,0.012003546114361888,0.012003546114361888,model,rho
21.0,0.0,12,0.010561863606806592,0.01343815814316158,model,rho
21.0,0.0,25,0.009002276076549805,0.014998388275117477,model,rho
21.0,0.0,37,0.007557481232564353,0.01644247202552904,model,rho
21.0,0.0,50,0.006001046865161435,0.017999687376762656,model,rho
21.0,0.0,62,0.00455572172977711,0.01943707973418253,model,rho
21.0,0.0,75,0.003000155526789606,0.020999874776726712,model,rho
21.0,0.0,87,0.0015584257585419526,0.022438547916383854,model,rho
21.0,0.0,95,0.0006018454615505953,0.02339586061927426,model,rho
21.0,1.0,0,0.01210115600983549,0.01210115600983549,model,rho
21.0,1.0,12,0.010792897464535057,0.01342958409474226,model,rho
21.0,1.0,25,0.009054935287997504,0.01494289722973921,model,rho
21.0,1.0,37,0.007681346177100121,0.016590507574220006,model,rho
21.0,1.0,50,0.006391635929346704,0.01793380898857968,model,rho
21.0,1.0,62,0.0053307549336088465,0.01940839949330412,model,rho
21.0,1.0,75,0.0038521583628006745,0.02089014518345838,model,rho
21.0,1.0,87,0.0022483558312504067,0.02230074591358599,model,rho
21.0,1.0,95,0.00041287976936093,0.024145402666866704,model,rho
21.0,2.0,0,0.011832915244403275,0.011832915244403275,model,rho
21.0,2.0,12,0.010520356877447078,0.013211336984919055,model,rho
21.0,2.0,25,0.008882600035984473,0.014712509836471042,model,rho
21.0,2.0,37,0.007427742295633569,0.016395090079282384,model,rho
21.0,2.0,50,0.00633578103348004,0.017850412552569674,model,rho
21.0,2.0,62,0.005307824891516467,0.019426126791369493,model,rho
21.0,2.0,75,0.003874718692179839,0.020897408852132662,model,rho
21.0,2.0,87,0.0022774482971886253,0.022352923049694266,model,rho
21.0,2.0,95,0.0005009681687956136,0.02417110290951055,model,rho
21.0,3.0,0,0.011571017868921339,0.011571017868921339,model,rho
21.0,3.0,12,0.010275923873215846,0.01288378704709608,model,rho
21.0,3.0,25,0.008599235482758764,0.01427670760694429,model,rho
21.0,3.0,37,0.00730844666746159,0.015951419415141794,model,rho
21.0,3.0,50,0.0062873174780255685,0.017506255722530308,model,rho
21.0,3.0,62,0.005307824891516467,0.01908477658015081,model,rho
21.0,3.0,75,0.0038875806527159866,0.020664566552326274,model,rho
21.0,3.0,87,0.0022774482971886253,0.02225628280356816,model,rho
21.0,3.0,95,0.0006811295112649956,0.024150417775981384,model,rho
21.0,4.0,0,0.011431852202492713,0.011431852202492713,model,rho
21.0,4.0,12,0.00997726386275861,0.012695015795422284,model,rho
21.0,4.0,25,0.00848647325286069,0.0139093772958372,model,rho
21.0,4.0,37,0.007252004447690559,0.015556592036000502,model,rho
21.0,4.0,50,0.00625652855398887,0.01712662565793992,model,rho
21.0,4.0,62,0.0051866326408533435,0.018678199806775847,model,rho
21.0,4.0,75,0.003806125487960661,0.020400544546618365,model,rho
21.0,4.0,87,0.0022723999126691187,0.02201925429480839,model,rho
21.0,4.0,95,0.0005802129299152067,0.02407443629515313,model,rho
21.0,5.0,0,0.011476833125771595,0.011476833125771595,model,rho
21.0,5.0,12,0.010171793581919795,0.012669009741579395,model,rho
21.0,5.0,25,0.008655657352914254,0.01377925634801296,model,rho
21.0,5.0,37,0.00734362576806874,0.015144702742846251,model,rho
21.0,5.0,50,0.006369041153429732,0.01686225581854134,model,rho
21.0,5.0,62,0.005438552583970482,0.018442091946389797,model,rho
21.0,5.0,75,0.0038344441583337235,0.020207973341876705,model,rho
21.0,5.0,87,0.0022723999126691187,0.021911470080940527,model,rho
21.0,5.0,95,0.0004200469692373951,0.02392831886559147,model,rho
21.0,6.0,0,0.011344633228067315,0.011344633228067315,model,rho
21.0,6.0,12,0.009915944508598852,0.012372294973985967,model,rho
21.0,6.0,25,0.008519039617572605,0.01354508456211481,model,rho
21.0,6.0,37,0.007330293410846878,0.014908196747298891,model,rho
21.0,6.0,50,0.006386377292113281,0.016581327527863416,model,rho
21.0,6.0,62,0.005525242320527344,0.018208271680898672,model,rho
21.0,6.0,75,0.003806125487960661,0.01997696274995825,model,rho
21.0,6.0,87,0.002237565735220932,0.02161245080278265,model,rho
21.0,6.0,95,0.00032371132538258304,0.023605894416254873,model,rho
21.0,7.0,0,0.011269065103780576,0.011269065103780576,model,rho
21.0,7.0,12,0.00987146727360098,0.012333119505020095,model,rho
21.0,7.0,25,0.008440798707313773,0.013433381410582933,model,rho
21.0,7.0,37,0.00730844666746159,0.014718516179717386,model,rho
