fs_time,time,param1,param2,covar
15.0,15.0,k,beta,-7.4053069847882e-29
15.0,15.0,k,pi,-1.373635076964979e-26
15.0,15.0,k,rho,-3.477408738273459e-30
15.0,15.0,k,c,-1.744255880939661e-26
15.0,15.0,k,lnV0,4.961555679808093e-28
15.0,15.0,k,delta,-3.049011729203461e-28
15.0,15.0,k,phi,-7.126867442160163e-28
15.0,15.0,beta,pi,12.27096875697446
15.0,15.0,beta,rho,-0.001525800060894694
15.0,15.0,beta,c,2.057687967506481e-28
15.0,15.0,beta,lnV0,0.20175096255443808
15.0,15.0,beta,delta,-0.03425244257003183
15.0,15.0,beta,phi,-0.4139815255666683
15.0,15.0,pi,rho,0.019388847438047186
15.0,15.0,pi,c,3.6348011329281467e-26
15.0,15.0,pi,lnV0,-1.0132763637347242
15.0,15.0,pi,delta,3.877720161490449
15.0,15.0,pi,phi,-7.604414130986412
15.0,15.0,rho,c,9.386226603219043e-30
15.0,15.0,rho,lnV0,0.00017440446381265364
15.0,15.0,rho,delta,0.00024909346652970076
15.0,15.0,rho,phi,0.0021012624699346017
15.0,15.0,c,lnV0,-1.3248587882918408e-27
15.0,15.0,c,delta,8.27024684061146e-28
15.0,15.0,c,phi,1.8910191916355145e-27
15.0,15.0,lnV0,delta,0.00768871771666987
15.0,15.0,lnV0,phi,-0.019068551028806165
15.0,15.0,delta,phi,-0.6735836249271809
15.0,16.0,k,beta,-7.4053069847882e-29
15.0,16.0,k,pi,-1.373635076964979e-26
15.0,16.0,k,rho,-3.477408738273459e-30
15.0,16.0,k,c,-1.744255880939661e-26
15.0,16.0,k,lnV0,4.961555679808093e-28
15.0,16.0,k,delta,-3.049011729203461e-28
15.0,16.0,k,phi,-7.126867442160163e-28
15.0,16.0,beta,pi,12.27096875697446
15.0,16.0,beta,rho,-0.001525800060894694
15.0,16.0,beta,c,2.057687967506481e-28
15.0,16.0,beta,lnV0,0.20175096255443808
15.0,16.0,beta,delta,-0.03425244257003183
15.0,16.0,beta,phi,-0.4139815255666683
15.0,16.0,pi,rho,0.019388847438047186
15.0,16.0,pi,c,3.6348011329281467e-26
15.0,16.0,pi,lnV0,-1.0132763637347242
15.0,16.0,pi,delta,3.877720161490449
15.0,16.0,pi,phi,-7.604414130986412
15.0,16.0,rho,c,9.386226603219043e-30
15.0,16.0,rho,lnV0,0.00017440446381265364
15.0,16.0,rho,delta,0.00024909346652970076
15.0,16.0,rho,phi,0.0021012624699346017
15.0,16.0,c,lnV0,-1.3248587882918408e-27
15.0,16.0,c,delta,8.27024684061146e-28
15.0,16.0,c,phi,1.8910191916355145e-27
15.0,16.0,lnV0,delta,0.00768871771666987
15.0,16.0,lnV0,phi,-0.019068551028806165
15.0,16.0,delta,phi,-0.6735836249271809
15.0,17.0,k,beta,-7.4053069847882e-29
15.0,17.0,k,pi,-1.373635076964979e-26
15.0,17.0,k,rho,-3.477408738273459e-30
15.0,17.0,k,c,-1.744255880939661e-26
15.0,17.0,k,lnV0,4.961555679808093e-28
15.0,17.0,k,delta,-3.049011729203461e-28
15.0,17.0,k,phi,-7.126867442160163e-28
15.0,17.0,beta,pi,12.27096875697446
15.0,17.0,beta,rho,-0.001525800060894694
15.0,17.0,beta,c,2.057687967506481e-28
15.0,17.0,beta,lnV0,0.20175096255443808
15.0,17.0,beta,delta,-0.03425244257003183
15.0,17.0,beta,phi,-0.4139815255666683
15.0,17.0,pi,rho,0.019388847438047186
15.0,17.0,pi,c,3.6348011329281467e-26
15.0,17.0,pi,lnV0,-1.0132763637347242
15.0,17.0,pi,delta,3.877720161490449
15.0,17.0,pi,phi,-7.604414130986412
15.0,17.0,rho,c,9.386226603219043e-30
15.0,17.0,rho,lnV0,0.00017440446381265364
15.0,17.0,rho,delta,0.00024909346652970076
15.0,17.0,rho,phi,0.0021012624699346017
15.0,17.0,c,lnV0,-1.3248587882918408e-27
15.0,17.0,c,delta,8.27024684061146e-28
15.0,17.0,c,phi,1.8910191916355145e-27
15.0,17.0,lnV0,delta,0.00768871771666987
15.0,17.0,lnV0,phi,-0.019068551028806165
15.0,17.0,delta,phi,-0.6735836249271809
15.0,18.0,k,beta,-7.4053069847882e-29
15.0,18.0,k,pi,-1.373635076964979e-26
15.0,18.0,k,rho,-3.477408738273459e-30
15.0,18.0,k,c,-1.744255880939661e-26
15.0,18.0,k,lnV0,4.961555679808093e-28
15.0,18.0,k,delta,-3.049011729203461e-28
15.0,18.0,k,phi,-7.126867442160163e-28
15.0,18.0,beta,pi,12.27096875697446
15.0,18.0,beta,rho,-0.001525800060894694
15.0,18.0,beta,c,2.057687967506481e-28
15.0,18.0,beta,lnV0,0.20175096255443808
15.0,18.0,beta,delta,-0.03425244257003183
15.0,18.0,beta,phi,-0.4139815255666683
15.0,18.0,pi,rho,0.019388847438047186
15.0,18.0,pi,c,3.6348011329281467e-26
15.0,18.0,pi,lnV0,-1.0132763637347242
15.0,18.0,pi,delta,3.877720161490449
15.0,18.0,pi,phi,-7.604414130986412
15.0,18.0,rho,c,9.386226603219043e-30
15.0,18.0,rho,lnV0,0.00017440446381265364
15.0,18.0,rho,delta,0.00024909346652970076
15.0,18.0,rho,phi,0.0021012624699346017
15.0,18.0,c,lnV0,-1.3248587882918408e-27
15.0,18.0,c,delta,8.27024684061146e-28
15.0,18.0,c,phi,1.8910191916355145e-27
15.0,18.0,lnV0,delta,0.00768871771666987
15.0,18.0,lnV0,phi,-0.019068551028806165
15.0,18.0,delta,phi,-0.6735836249271809
15.0,19.0,k,beta,-7.4053069847882e-29
15.0,19.0,k,pi,-1.373635076964979e-26
15.0,19.0,k,rho,-3.477408738273459e-30
